"brand_name","generic_name","years_with_data","mean_beneficiaries","latest_beneficiaries","mean_dosage_unit","latest_dosage_unit","cancer_drug","notes"
"Modafinil","Modafinil","12","55310.2","69010","12682702.6","17173460","no","Wakefulness-promoting agent; treats narcolepsy and shift work sleep disorder"
"Humalog","Insulin Lispro","12","239927","156031","20492570.1","17053782.95","no","Rapid-acting insulin analog; treats type 1 and type 2 diabetes"
"Medroxyprogesterone Acetate*","Medroxyprogesterone Acetate","10","120525.9","108623","17268732.1","16977414.69","no","Progestin; treats abnormal uterine bleeding and endometriosis"
"Budesonide Dr","Budesonide","7","43884.9","61841","10692068.4","16916334","no","Corticosteroid; treats Crohn's disease, ulcerative colitis, asthma"
"Nystop","Nystatin","12","315220.2","225445","26863463.9","16797855.142","no","Topical antifungal; treats candidiasis"
"Klor-Con 10","Potassium Chloride","12","198165.5","71147","49671337.3","16552719","no","Electrolyte supplement; treats/prevents hypokalemia"
"Naltrexone HCl","Naltrexone HCl","12","51834.8","110953","7612951.7","16479707.118","no","Opioid antagonist; treats alcohol and opioid dependence"
"Diltiazem 12hr ER","Diltiazem HCl","12","40719.5","50070","12111177.5","16457181.57","no","Calcium channel blocker; treats hypertension and angina"
"Techlite Pen Needle","Pen Needle, Diabetic","7","24751.9","53707","7441239.8","16329934.211","no","Diabetic supply; pen needle for insulin injection"
"Acetazolamide","Acetazolamide","12","83437.2","90681","14434052.5","16232723.086","no","Carbonic anhydrase inhibitor; treats glaucoma, altitude sickness, epilepsy"
"Tadalafil","Tadalafil","6","57504.7","74638","12270876","15792903.611","no","PDE5 inhibitor; treats erectile dysfunction and pulmonary hypertension"
"Trulicity","Dulaglutide","10","385520.9","938731","6078571.5","15240416.417","no","GLP-1 receptor agonist; treats type 2 diabetes"
"Spironolactone-HCTZ","Spironolact/Hydrochlorothiazid","12","65671.2","59713","16419797.8","15147595.977","no","Potassium-sparing diuretic/thiazide combo; treats hypertension and edema"
"Rivastigmine","Rivastigmine","9","85698.1","73120","16151484.8","14825427","no","Cholinesterase inhibitor; treats Alzheimer's and Parkinson's dementia"
"Ciclopirox","Ciclopirox","12","259115.1","397306","11280091.5","14723477.541","no","Topical antifungal; treats dermatophyte and yeast infections"
"Tresiba Flextouch U-200","Insulin Degludec","9","132455.4","197096","9498844.2","14610581.438","no","Ultra-long-acting insulin analog; treats type 1 and type 2 diabetes"
"Flovent HFA","Fluticasone Propionate","12","331913","319369","15499739.4","14532367.5","no","Inhaled corticosteroid; treats asthma"
"Sodium Fluoride*","Fluoride (Sodium)","7","16361.1","66196","4823376.9","14481462.942","no","Fluoride supplement; prevents dental caries"
"Silodosin","Silodosin","6","47472.7","65592","10302191.2","14470842","no","Alpha-1 blocker; treats benign prostatic hyperplasia"
"Dorzolamide HCl","Dorzolamide HCl","12","223350","288929","10038149.6","14292128.452","no","Carbonic anhydrase inhibitor eye drop; treats glaucoma"
"Gentamicin Sulfate*","Gentamicin Sulfate","10","260847.4","255052","17709759.7","14163265.791","no","Aminoglycoside antibiotic; treats serious bacterial infections"
"Permethrin","Permethrin","12","154519.3","128757","16283441.1","14127586","no","Topical antiparasitic; treats scabies and lice"
"Vitamin D2","Ergocalciferol (Vitamin D2)","12","161823.7","523722","3910077.9","13767586.204","no","Vitamin D supplement; treats/prevents vitamin D deficiency"
"Paliperidone ER","Paliperidone","9","35878.1","50007","8711576.9","13224316","no","Atypical antipsychotic ER; treats schizophrenia and schizoaffective disorder"
"Zolpidem Tartrate ER","Zolpidem Tartrate","12","72271.9","69112","12430651.7","12868199","no","Sedative-hypnotic ER; treats insomnia with sleep maintenance difficulty"
"Rexulti","Brexpiprazole","9","36747.8","66421","7026838.5","12594434.75","no","Atypical antipsychotic; adjunct for major depressive disorder"
"Humulin N","Insulin NPh Human Isophane","12","121632.3","87919","16217390.4","12585136.33","no","Intermediate-acting insulin; treats type 1 and type 2 diabetes"
"Calcipotriene","Calcipotriene","12","66113.2","72274","17660464.3","12396067","no","Vitamin D analog; treats plaque psoriasis"
"Ketorolac Tromethamine*","Ketorolac Tromethamine","10","716608.1","951621","8727886","12273926.235","no","NSAID; treats moderate to severe pain and inflammation"
"Betamethasone Valerate","Betamethasone Valerate","12","147551.4","145618","12987528.6","12266067.176","no","Topical corticosteroid; treats inflammatory skin conditions"
"Atomoxetine HCl","Atomoxetine HCl","7","37537.6","56491","7802836.4","12242693","no","Norepinephrine reuptake inhibitor; treats ADHD"
"Sulindac","Sulindac","12","82587.8","58059","16828380.9","12204974","no","NSAID; treats osteoarthritis and rheumatoid arthritis"
"Arnuity Ellipta","Fluticasone Furoate","9","50551.8","74815","7853205.9","11948596.2","no","Inhaled corticosteroid; treats asthma"
"Cartia Xt","Diltiazem HCl","12","305095.7","59399","70194688.5","11824576","no","Calcium channel blocker ER; treats hypertension and angina"
"Bicalutamide","Bicalutamide","12","80410.4","73843","12314865.4","11077156","yes","Non-steroidal antiandrogen; treats metastatic prostate cancer"
"Fluocinolone Acetonide","Fluocinolone Acetonide","12","76932.7","80799","9981978.6","10826964.039","no","Topical corticosteroid; treats inflammatory skin conditions"
"Belsomra","Suvorexant","9","58302.2","86387","7078259.2","10758271.5","no","Orexin receptor antagonist; treats insomnia"
"Vyvanse","Lisdexamfetamine Dimesylate","12","31039.3","57529","6700212.7","10656095","no","Stimulant; treats ADHD and binge eating disorder"
"Cefadroxil","Cefadroxil","12","187892.7","315336","5887668.8","10617675.98","no","Cephalosporin antibiotic; treats bacterial infections"
"Advair HFA","Fluticasone Propion/Salmeterol","10","133814.3","180362","7597154.7","10160958.8","no","ICS/LABA inhaler; treats asthma and COPD"
"Halobetasol Propionate","Halobetasol Propionate","12","85247.2","89868","9462134.9","10122432.177","no","Ultra-high potency topical corticosteroid; treats severe dermatoses"
"Movantik","Naloxegol Oxalate","8","53898.7","73045","6009862.9","10104258","no","Peripherally acting mu-opioid antagonist; treats opioid-induced constipation"
"Nystatin-Triamcinolone","Nystatin/Triamcinolone Acet","6","142714.3","145372","9512600","9563788.845","no","Antifungal/corticosteroid combo; treats fungal skin infections with inflammation"
"Econazole Nitrate","Econazole Nitrate","12","163274.2","83651","19694460.2","9071627.283","no","Topical antifungal; treats dermatophyte and yeast infections"
"Fentanyl","Fentanyl","12","302459.9","124042","20035732.6","8941071.275","no","Opioid analgesic; treats severe chronic pain (transdermal/transmucosal)"
"Humulin 70-30","Insulin NPh Hum/Reg Insulin Hm","12","89703","53022","13726578.1","8937959.5","no","Premixed insulin; treats type 1 and type 2 diabetes"
"Latuda","Lurasidone HCl","12","93809.1","76110","20470204.5","8838042.882","no","Atypical antipsychotic; treats schizophrenia and bipolar disorder"
"Trimethoprim","Trimethoprim","12","69566.9","53845","8853437.3","8820227","no","Antifolate antibiotic; treats urinary tract infections"
"Levemir","Insulin Detemir","12","164565.9","90227","15738040.1","8804331.67","no","Long-acting insulin analog; treats type 1 and type 2 diabetes"
"Diclofenac Sodium ER","Diclofenac Sodium","12","62986.5","59234","6808391.2","8770435","no","NSAID ER; treats pain, inflammation, and arthritis"
"Rizatriptan","Rizatriptan Benzoate","11","116992.5","180679","5592479.4","8653285.533","no","Triptan; treats acute migraine attacks"
"Novolog Mix 70-30 Flexpen","Insulin Aspart Prot/Insuln Asp","12","91425","62157","12373048.2","8644591","no","Premixed insulin analog; treats type 1 and type 2 diabetes"
"Ofloxacin*","Ofloxacin","10","843860.8","1021068","6979173.4","8618404.78","no","Fluoroquinolone antibiotic; treats bacterial eye/ear/urinary infections"
"Novolin 70-30","Insulin NPh Hum/Reg Insulin Hm","12","101199.6","51680","15210148","8395340.136","no","Premixed insulin; treats type 1 and type 2 diabetes"
"Victoza 3-Pak","Liraglutide","12","174327.2","142213","9927202.6","7913340.7","no","GLP-1 receptor agonist; treats type 2 diabetes"
"Tretinoin*","Tretinoin","10","68183.3","91688","4952462.4","7742603.6","no","Topical retinoid; treats acne and skin photodamage"
"Spiriva Respimat","Tiotropium Bromide","10","251498.4","333929","5288877.1","7492306.238","no","LAMA inhaler; treats COPD and asthma"
"Erythromycin*","Erythromycin Base","10","701885.5","931761","6382313.3","7326398.501","no","Macrolide antibiotic; treats bacterial infections"
"Procto-Med HC","Hydrocortisone","8","73818.5","115031","4445373.5","7160528.303","no","Topical corticosteroid; treats hemorrhoidal and rectal inflammation"
"Lumigan","Bimatoprost","12","394693.2","347753","7400274.1","6993884.21","no","Prostaglandin analog; treats open-angle glaucoma"
"Desonide","Desonide","12","164889.3","101247","15087317.7","6905181.827","no","Topical corticosteroid; treats inflammatory skin conditions"
"Enoxaparin Sodium","Enoxaparin Sodium","12","349757.1","286115","7171857.5","6540411.936","no","Low-molecular-weight heparin; prevents/treats DVT and PE"
"Cefpodoxime Proxetil","Cefpodoxime Proxetil","12","157958.7","330545","3213320.3","6433108.94","no","Cephalosporin antibiotic; treats bacterial infections"
"Famciclovir","Famciclovir","12","76807.1","60825","5596805.5","5960707","no","Antiviral; treats herpes zoster and recurrent herpes simplex"
"Toujeo Solostar","Insulin Glargine,Hum.Rec.Anlog","9","155328.2","163635","5656517.6","5754670.45","no","Concentrated long-acting insulin analog; treats diabetes"
"Shingrix","Varicella-Zoster Ge/As01b/PF","7","2684114","3894337","3861630","5706084.5","no","Recombinant vaccine; prevents herpes zoster (shingles)"
"Levemir Flextouch","Insulin Detemir","10","428934.7","183748","41690984.2","5662602.5","no","Long-acting insulin analog; treats type 1 and type 2 diabetes"
"Ertapenem","Ertapenem Sodium","6","41465.5","56925","5116336.5","5568364.736","no","Carbapenem antibiotic; treats serious bacterial infections"
"Ceftriaxone*","Ceftriaxone Sodium","10","153742.1","148645","5724879.1","5454701.687","no","Cephalosporin antibiotic; treats serious bacterial infections"
"Humulin R","Insulin Regular, Human","12","96248.7","63654","7477225.7","5407143.357","no","Regular insulin; treats type 1 and type 2 diabetes"
"Combigan","Brimonidine Tartrate/Timolol","12","241120.8","144502","8432903.8","5348094.521","no","Alpha-agonist/beta-blocker combo eye drop; treats glaucoma"
"Clarithromycin","Clarithromycin","12","259115.5","168843","6787447.3","5219497","no","Macrolide antibiotic; treats bacterial infections"
"Toujeo Max Solostar","Insulin Glargine,Hum.Rec.Anlog","6","56079","106268","2747091.2","5196220.181","no","Concentrated long-acting insulin analog; treats diabetes"
"Soliqua 100-33","Insulin Glargine/Lixisenatide","7","29995.4","59571","2426966","5067178.3","no","Insulin/GLP-1 combo; treats type 2 diabetes"
"Neomycin-Polymyxin-Dexameth","Neomycin/Polymyxin B/Dexametha","12","513294.5","774697","3118739.2","4660639.36","no","Antibiotic/corticosteroid combo eye drop; treats ocular infections"
"Levalbuterol Tartrate HFA","Levalbuterol Tartrate","8","56290.8","93036","2832967.9","4624866.3","no","Short-acting beta-2 agonist inhaler; relieves bronchospasm"
"Alphagan P","Brimonidine Tartrate","12","177072.5","118782","6836496.5","4469897.681","no","Alpha-2 agonist eye drop; treats open-angle glaucoma"
"Dulera","Mometasone/Formoterol","10","123876.2","70485","6865234.2","4346266.9","no","ICS/LABA inhaler; treats asthma"
"Lidocaine HCl*","Lidocaine HCl","10","144170.8","72152","9483370","4331318.627","no","Local anesthetic; treats topical and injectable pain management"
"Oseltamivir Phosphate","Oseltamivir Phosphate","8","632768.2","380069","7037293.2","4243697.5","no","Neuraminidase inhibitor; treats and prevents influenza"
"Terconazole","Terconazole","12","90555.6","84152","4487163.6","4208958.5","no","Topical antifungal; treats vulvovaginal candidiasis"
"Testosterone Cypionate","Testosterone Cypionate","12","168986.4","242810","2742425.1","4153566.523","no","Androgen hormone; treats hypogonadism and low testosterone"
"Estradiol (Twice Weekly)","Estradiol","8","52782.9","70749","3018933.2","4075401","no","Estrogen patch; treats menopausal symptoms"
"Benzonatate","Benzonatate","12","39583.6","92427","1870974","4040709","no","Non-narcotic antitussive; treats cough"
"Polymyxin B Sul-Trimethoprim","Polymyxin B Sulf/Trimethoprim","12","284926.2","334644","3359227.1","3826659.39","no","Antibiotic eye drop; treats bacterial conjunctivitis"
"Repatha Sureclick","Evolocumab","9","80618.6","229666","1294041.3","3813156","no","PCSK9 inhibitor; lowers LDL cholesterol in familial hypercholesterolemia"
"Fluocinolone Acetonide Oil","Fluocinolone Acetonide Oil","12","57841.9","110490","1692335.8","3718829.214","no","Topical corticosteroid in oil; treats scalp and body dermatoses"
"Stiolto Respimat","Tiotropium Br/Olodaterol HCl","9","97170.7","155872","2119700.4","3652844.99","no","LAMA/LABA inhaler; treats COPD"
"Combivent Respimat","Ipratropium/Albuterol Sulfate","12","253239.8","176341","4918028.1","3645657.007","no","Anticholinergic/beta-agonist combo inhaler; treats COPD"
"Yuvafem","Estradiol","8","55536.5","60394","2897984.8","3557730","no","Vaginal estrogen; treats vulvovaginal atrophy"
"Atrovent HFA","Ipratropium Bromide","12","89190.2","68099","4828912.3","3529490.9","no","Anticholinergic inhaler; treats COPD"
"Imiquimod","Imiquimod","12","93292.3","124101","2414583","3377217.75","no","Topical immune response modifier; treats actinic keratoses and basal cell carcinoma"
"Olopatadine HCl*","Olopatadine HCl","10","219210.1","147406","3542697.1","3262726.834","no","Antihistamine eye drop; treats allergic conjunctivitis"
"Clonidine","Clonidine","12","103621.8","102502","2674363.4","3047773.236","no","Alpha-2 agonist; treats hypertension (transdermal patch)"
"Moxifloxacin","Moxifloxacin HCl","7","385772.4","596568","1896459.7","2962650.328","no","Fluoroquinolone antibiotic; treats bacterial eye and respiratory infections"
"Simbrinza","Brinzolamide/Brimonidine Tart","11","59750.9","68879","2505991.4","2908377.23","no","CAI/alpha-agonist combo eye drop; treats glaucoma"
"Alvesco","Ciclesonide","10","37379.8","88457","1353923","2784180.3","no","Inhaled corticosteroid; treats asthma"
"Ampicillin Trihydrate","Ampicillin Trihydrate","12","102017.6","67296","4660799.6","2610608","no","Aminopenicillin antibiotic; treats bacterial infections"
"Linezolid","Linezolid","9","51077.2","88286","1520332","2560403","no","Oxazolidinone antibiotic; treats serious gram-positive infections (MRSA, VRE)"
"Tobramycin-Dexamethasone","Tobramycin/Dexamethasone","12","349799.6","367158","2407397.4","2520339.868","no","Antibiotic/corticosteroid combo eye drop; treats ocular infections"
"Victoza 2-Pak","Liraglutide","12","90920","83777","2606198.9","2504753.6","no","GLP-1 receptor agonist; treats type 2 diabetes"
"Neomycin-Polymyxin-HC*","Neomycin/Polymyxin B/Hydrocort","10","208646.3","207059","2429638.9","2400540.95","no","Antibiotic/corticosteroid combo ear drop; treats otitis externa"
"Scopolamine","Scopolamine","7","97086.4","200055","1132316.9","2306058.786","no","Anticholinergic; treats motion sickness and nausea"
"Neomycin-Polymyxin-Hydrocort","Neomycin/Polymyxin B/Hydrocort","12","228590.1","192258","2710439.7","2258926.7","no","Antibiotic/corticosteroid combo ear drop; treats otitis externa"
"Fluorometholone","Fluorometholone","12","155054.4","168211","2078668.5","2199971","no","Corticosteroid eye drop; treats ocular inflammation"
"Ibandronate Sodium*","Ibandronate Sodium","10","200578.9","239104","1468310.1","1963941.5","no","Bisphosphonate; treats and prevents osteoporosis"
"Atovaquone-Proguanil HCl","Atovaquone/Proguanil HCl","12","41673.8","61477","1280453.2","1892680","no","Antimalarial combo; prevents and treats malaria"
"Praluent Pen","Alirocumab","9","45839.4","106365","749380.2","1840124.32","no","PCSK9 inhibitor; lowers LDL cholesterol"
"Naloxone HCl*","Naloxone HCl","7","197012.6","744446","472070.2","1788141.85","no","Opioid antagonist; reverses opioid overdose"
"Risedronate Sodium","Risedronate Sodium","10","65241.6","71989","1151007.2","1541214.255","no","Bisphosphonate; treats and prevents osteoporosis and Paget's disease"
"Buprenorphine","Buprenorphine","7","45375.3","74893","840060.1","1493627.414","no","Partial opioid agonist; treats opioid use disorder and chronic pain"
"Rhopressa","Netarsudil Mesylate","6","68618","89044","950552.1","1337228.27","no","Rho kinase inhibitor eye drop; treats open-angle glaucoma"
"Tobramycin*","Tobramycin","8","194560.1","195319","1360958.5","1302654.07","no","Aminoglycoside antibiotic; treats serious bacterial infections"
"Humira(Cf) Pen","Adalimumab","6","41768","61474","744932.5","1182524.4","no","TNF inhibitor biologic; treats RA, psoriasis, Crohn's, UC"
"Vyzulta","Latanoprostene Bunod","7","32672.1","69308","520324","1163823.668","no","Prostaglandin/NO-donating analog; treats open-angle glaucoma"
"Epinephrine","Epinephrine","12","169333.9","413026","406636.6","1066944.389","no","Adrenergic agonist; treats anaphylaxis and severe allergic reactions"
"Atropine Sulfate*","Atropine Sulfate","10","82925.3","109532","698601.9","1014245.085","no","Anticholinergic; treats bradycardia and as preoperative antisecretory"
"Cyanocobalamin Injection","Cyanocobalamin (Vitamin B-12)","12","24200.2","94113","245134.8","976522.645","no","Vitamin B12 injection; treats pernicious/B12 deficiency anemia"
"Dexamethasone Sodium Phosphate*","Dexamethasone Sodium Phosphate","10","54278.1","57302","951969.5","947695.819","no","Corticosteroid; treats inflammation (injectable/ophthalmic)"
"Calcitonin-Salmon*","Calcitonin,Salmon,Synthetic","7","66761.9","59810","1074010.9","834222.085","no","Peptide hormone; treats postmenopausal osteoporosis and Paget's disease"
"Prolensa","Bromfenac Sodium","11","136314.2","144112","662102.7","799797.8","no","NSAID eye drop; treats postoperative ocular inflammation"
"Invega Sustenna","Paliperidone Palmitate","12","56359.3","70988","574364.7","777287.372","no","Atypical antipsychotic LAI; treats schizophrenia and schizoaffective disorder"
"Neomycin Sulfate","Neomycin Sulfate","12","51921.3","59818","1206576.2","750510.149","no","Aminoglycoside antibiotic; treats serious bacterial infections"
"Boostrix Tdap","Diphth,Pertuss(Acell),Tet Vac","12","438792.8","1250417","227858","632489.06","no","Vaccine; booster for diphtheria, tetanus, and pertussis"
"Aimovig Autoinjector","Erenumab-Aooe","6","42970.2","55770","294690","420127.999","no","CGRP antagonist; prevents migraine headaches"
"Prolia","Denosumab","12","147505.8","255565","229081.9","403776.814","no","RANKL inhibitor; treats osteoporosis and bone loss"
"Twinrix","Hepatitis A And B Vaccine/PF","12","28002.9","119578","45336.5","200788","no","Vaccine; prevents hepatitis A and B"
"Plenvu","PEG3350/Sod Sul/NaCl/KCl/Asb/C","6","35224.8","56685","106933.4","172839","no","Osmotic laxative; bowel preparation before colonoscopy"
"Proair Respiclick","Albuterol Sulfate","9","68491.8","61816","155110.1","165232.097","no","Short-acting beta-2 agonist inhaler; relieves bronchospasm"
"Adacel Tdap","Diph,Pertuss(Acell),Tet Vac/PF","12","186476.2","240258","133351.6","160008.8","no","Vaccine; booster for diphtheria, tetanus, and pertussis"
"Tenivac","Tetanus-Diphtheria Toxoids/PF","10","28408.4","51546","18654.3","31446.05","no","Vaccine; booster for tetanus and diphtheria"
